a,b,a_radius,b_radius,a_lat,a_lng,b_lat,b_lng,local_remote
7669222_L,7669222_R1,100,100,47.6064,-122.3308,38.5789,-122.5786,1
7673020_L,7673020_R1,100,100,47.6106,-122.1994,37.3861,-122.0828,1
7685306_L,7685306_R1,100,100,47.6064,-122.3308,38.5789,-122.5786,1
7706415_L,7706415_R1,100,100,37.3394,-121.8939,47.6106,-122.1994,1
7716290_L,7716290_R1,100,100,47.6742,-122.1203,37.5028,-122.4683,1
7757250_L,7757250_R1,100,100,47.6817,-122.2075,37.775,-122.4183,1
7813268_L,7813268_R1,100,100,37.4419,-122.1419,47.6817,-122.2075,1
7822993_L,7822993_R1,100,100,41.2786,-72.5281,47.6742,-122.1203,1
7822993_L,7822993_R2,100,100,41.2786,-72.5281,37.3689,-122.0353,1
7822993_R1,7822993_R2,100,100,47.6742,-122.1203,37.3689,-122.0353,0
7913279_L,7913279_R1,100,100,37.2267,-121.9736,33.6117,-111.7167,1
7944863_L,7944863_R1,100,100,37.775,-122.4183,47.6742,-122.1203,1
8024648_L,8024648_R1,100,100,37.3861,-122.0828,47.5708,-122.2208,1
8027518_L,8027518_R1,100,100,47.6742,-122.1203,37.3231,-122.0311,1
8073673_L,8073673_R1,100,100,37.2872,-121.9489,47.6211,-122.2264,1
8112764_L,8112764_R1,100,100,47.6742,-122.1203,37.5028,-122.4683,1
8340645_L,8340645_R1,100,100,37.4853,-122.2353,51.5112,-0.1198,1
8463776_L,8463776_R1,100,100,48.0797,-123.1006,37.3861,-122.0828,1
8508543_L,8508543_R1,100,100,47.6742,-122.1203,39.9042,116.4074,1
8514269_L,8514269_R1,100,100,32.6602,35.1046,47.6419,-122.0792,1
8654152_L,8654152_R1,100,100,47.6742,-122.1203,42.2711,-89.0939,1
8661332_L,8661332_R1,100,100,47.6742,-122.1203,37.3861,-122.0828,1
8730167_L,8730167_R1,100,100,31.8639,117.2808,47.6817,-122.2075,1
8739230_L,8739230_R1,100,100,47.6064,-122.3308,38.5789,-122.5786,1
8744237_L,8744237_R1,100,100,47.7544,-122.1622,37.4419,-122.1419,1
8768146_L,8768146_R1,100,100,47.6064,-122.3308,38.5789,-122.5786,1
8803952_L,8803952_R1,100,100,32.8156,34.9892,47.6419,-122.0792,1
8832708_L,8832708_R1,100,100,47.7544,-122.1622,37.2639,-122.0219,1
